d4v41,General Discussion,0,26,20/8/2023,5:39
D4v41,General Discussion,0,18,15/7/2022,1:36
d4v41 and mindfreak,General Discussion,0,14,19/2/2024,17:26
d4v41 yet again,General Discussion,1,12,11/12/2023,1:58
monyet vs d4v41,General Discussion,9,12,23/3/2024,6:59
PRX d4v41,General Discussion,4,11,5/7/2024,18:27
dos9 d4v41 beef?,General Discussion,10,11,8/11/2024,15:14
d4v41 preparing for next year,General Discussion,0,10,28/7/2023,19:46
monyet vs d4v41 the rematch,General Discussion,0,10,18/4/2024,12:49
d4v41 ULT,General Discussion,1,10,3/6/2024,20:27
D4V41 Appreciation Post,General Discussion,3,9,22/5/2023,20:52
D4v41 underrated?,General Discussion,2,8,16/9/2021,12:04
WHY d4v41?????,General Discussion,1,8,1/5/2023,21:30
d4v41 and mta,General Discussion,1,8,6/8/2024,4:15
prx player ranking,General Discussion,5,45,25/11/2024,7:07
OpTic anime arc,General Discussion,6,17,13/7/2022,1:21
Prx d4v41,General Discussion,3,7,22/4/2023,19:49
Top 5 initiators right now,General Discussion,0,50,15/8/2023,10:38
D4V41,General Discussion,0,6,23/7/2022,2:48
D4V41 AND FAMILY,General Discussion,1,6,7/3/2024,5:06
d4v41 best player all time,General Discussion,0,6,11/8/2023,11:19
prx d4v41 using troll crosshair(?),General Discussion,0,5,13/10/2021,1:53
d4v41 OP,General Discussion,0,5,25/7/2022,3:21
Top 3 Initiators from your Region,General Discussion,0,49,23/1/2024,15:28
Top 5 of Each Role - All Time,General Discussion,0,108,2/7/2024,18:44
d4v41 savior,General Discussion,0,5,21/1/2025,12:36
PRX Roster Rankings,General Discussion,0,25,27/1/2025,11:48
who is PRX kicking,General Discussion,4,33,4/3/2025,21:42
F0rsaken,General Discussion,5,34,23/3/2025,20:46
PRX D4v41,Off Topic,0,4,21/8/2021,19:28
F0rsaken on jett,General Discussion,0,7,13/10/2021,13:34
Best player on each agent,General Discussion,0,47,5/11/2021,1:19
d4v41 crosshair,General Discussion,3,4,18/7/2022,2:34
SEN d4v41,Off Topic,0,4,6/10/2022,2:57
PRX something,Off Topic,40,113,4/3/2023,12:00
Fnatic vs prx [firepower],General Discussion,3,33,28/5/2023,3:25
Every agent GOAT,General Discussion,0,108,19/9/2023,7:21
You can create a team,General Discussion,0,42,23/9/2023,7:16
players better than leo rn,General Discussion,1,26,12/11/2023,9:59
drafting vct pros to survive on an island,General Discussion,1,20,14/5/2024,1:20
d4v41 bomb,General Discussion,0,4,3/6/2024,20:21
d4v41 sage,General Discussion,1,4,14/7/2024,22:28
prx ascent comp,General Discussion,2,35,27/7/2024,15:23
OFFICIAL OMG VLR Top 20 Players 2024,General Discussion,0,16,27/8/2024,7:09
