ethan vs forsaken,General Discussion,0,11,18/8/2023,15:39
FORSAKEN >>> CHRONICLE,General Discussion,0,11,25/8/2023,24:11
Forsaken bundle: Worth it?,General Discussion,0,11,20/4/2024,20:30
forsaken & prx,General Discussion,0,11,23/3/2025,21:43
CHOOSE your team,General Discussion,0,59,29/10/2023,12:18
Miniboo? Victor? Forsaken?,General Discussion,4,11,7/6/2024,14:00
Perfect skin collection,General Discussion,0,35,22/10/2024,15:25
FORSAKEN IS COMING TO VALORANT???,General Discussion,1,10,24/4/2021,2:34
reaver dagger or forsaken dagger,Off Topic,0,10,19/8/2021,21:31
FORSAKEN POLISH PRIDE,General Discussion,5,10,19/4/2022,8:09
yoru forsaken,General Discussion,2,10,19/4/2022,8:57
Oxy ur not tenz or forsaken,General Discussion,0,10,26/2/2024,8:20
Forsaken carries PRX,General Discussion,0,10,3/6/2024,19:38
Forsaken come,General Discussion,0,10,20/7/2024,18:57
Smb bullying to forsaken,General Discussion,0,10,15/9/2021,23:31
F0rsaken and Jing vs Derke and Alfajer,General Discussion,0,85,25/6/2022,21:25
dont play yoru if your name isnt forsaken,General Discussion,2,10,17/7/2022,2:44
top 5 players in the world,General Discussion,0,46,17/7/2022,10:24
Rate Inventory,General Discussion,0,29,31/8/2022,12:33
TenZ + Zekken > Jingg and Forsaken,General Discussion,5,10,5/12/2023,22:10
The GOAT of Valorant,General Discussion,0,54,14/4/2024,20:06
Drop your valo inventory and rate ?/10,General Discussion,3,75,14/5/2024,19:33
Sen fans are challenged,General Discussion,0,44,5/7/2024,6:44
list your top 5 respective in their roles,General Discussion,0,57,13/11/2024,1:56
Nats playing with forsaken,General Discussion,0,9,16/7/2022,17:24
JINGG AND FORSAKEN,General Discussion,7,9,16/3/2024,4:45
Zellsis vs Forsaken,General Discussion,0,9,23/3/2024,6:53
who is the best SEA player/aimer?,General Discussion,1,23,8/1/2022,23:56
Life and KangKang = Forsaken and Jinggg ?,General Discussion,0,9,12/8/2022,21:23
xccurate playing with his brother forsaken,General Discussion,0,9,1/10/2022,1:40
Overhyping patiphan???,General Discussion,8,58,26/10/2022,2:18
Best skin on each weapon,General Discussion,0,24,16/11/2022,17:25
TOP 5 VANDAL/PHANTOM SKINS?,Off Topic,0,42,15/8/2023,7:51
Who's the best flex,General Discussion,1,35,18/8/2023,10:28
Top 3 Goat contenders,General Discussion,0,50,21/3/2024,20:34
Build your roster ($15),General Discussion,0,30,25/3/2024,11:55
Top 5 players of all time,General Discussion,0,39,11/4/2024,9:57
Create your ideal player,General Discussion,0,46,13/4/2024,5:21
best vandal skin,General Discussion,3,54,15/6/2024,6:43
Forsaken agent pool is a myth,General Discussion,0,9,4/8/2024,19:17
forsaken truth,General Discussion,0,9,6/8/2024,9:55
Would you rather (Skin),General Discussion,0,16,14/9/2024,24:55
Create your perfect player,General Discussion,0,78,8/12/2024,4:30
Forsaken yoru,General Discussion,0,8,25/3/2022,18:20
Forsaken wtf,General Discussion,3,8,25/6/2022,21:10
100t derrek on jingg and forsaken,General Discussion,0,8,16/9/2022,9:44
Forsaken cypher,General Discussion,0,8,20/5/2023,21:53
Best Jett's,General Discussion,0,55,3/11/2021,13:46
best vandal skin?,Off Topic,2,52,13/2/2022,16:12
top 5 skins (vandal and phantom),General Discussion,0,27,20/2/2022,23:58
skrossi + LF vs f0rsaken right now!,General Discussion,0,123,29/10/2022,12:39
Make ur countries best five,General Discussion,0,152,31/10/2022,14:26
TOP 3 VANDAL SKINS IN ORDER,General Discussion,1,65,21/2/2023,4:21
Best CSGO IGNs vs Best Valorant IGNs,Off Topic,2,80,2/8/2023,10:42
Best Operator skins ?,General Discussion,0,24,1/11/2023,3:26
build your superteam,General Discussion,0,41,25/3/2024,10:39
RANK THE FOLLOWING DUOS,General Discussion,0,17,31/3/2024,17:50
Víctor Cypher,General Discussion,0,38,29/4/2024,16:28
ACTUAL TOP 5 PLAYERS AT SHANGHAI,General Discussion,0,30,16/5/2024,9:02
Paper Rex,General Discussion,0,20,12/8/2024,2:00
prx player ranking,General Discussion,5,45,25/11/2024,7:07
