the future of PRX,General Discussion,7,94,8/3/2023,2:16
Mindfreak TopG,General Discussion,0,10,27/8/2023,4:37
holy FUCK mindfreak,General Discussion,2,9,13/4/2024,20:16
Mindfreak viper,General Discussion,0,9,17/5/2024,13:52
BOOM f0rsakeN & Mindfreak,General Discussion,4,9,7/8/2022,22:11
Indonesian come,General Discussion,0,11,2/9/2022,2:09
Whats up with M controllers popping off,General Discussion,0,26,3/4/2023,21:19
APAC Superteam?,General Discussion,0,73,24/8/2023,11:32
Monyet and PRX,General Discussion,0,56,5/9/2023,7:08
COME WATCH MINDFREAK RAZE RN,General Discussion,0,9,12/11/2023,22:21
if PRX disband,General Discussion,0,98,17/4/2024,4:37
PRX fix,General Discussion,0,46,27/4/2024,23:35
best controller?,General Discussion,0,61,6/10/2024,16:04
BENKAI & MINDFREAK DUO WALKOUT,General Discussion,0,8,17/7/2022,23:58
mindfreak prx captain,General Discussion,1,8,20/3/2024,6:29
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,6/7/2022,23:22
PRX,General Discussion,0,15,3/10/2022,23:08
thoughts on mindfreak harbor?,General Discussion,0,8,19/11/2022,18:05
most improved player this year?,General Discussion,0,106,29/12/2022,8:54
All-Mid Starting 5,General Discussion,0,56,17/8/2023,14:09
GAME MANAGERS,General Discussion,3,41,27/2/2024,8:41
Prx > NRG,General Discussion,2,71,1/5/2024,3:58
Valorant players with peak aura from every region,General Discussion,4,39,6/7/2024,24:54
If PRX get grouped..,General Discussion,0,57,22/7/2024,13:57
Mindfreak ? Sscary,General Discussion,0,7,10/7/2023,1:10
Mindfreak face look like a capybara,General Discussion,0,7,23/3/2024,5:10
Mindfreak inconsistent,General Discussion,0,7,21/4/2024,21:25
-Mindfreak +Demon1,General Discussion,0,7,3/6/2024,20:19
termi diffing mindfreak,General Discussion,0,7,24/6/2024,4:13
mindfreak > atakaptan,General Discussion,0,7,9/8/2024,22:58
OpTic anime arc,General Discussion,6,17,13/7/2022,1:21
"Name ""M"" for the best controller",General Discussion,4,33,18/7/2022,3:42
how to beat paper rex,General Discussion,0,92,18/7/2022,24:41
Mindfreak = certified clutch master,General Discussion,0,7,25/7/2022,4:22
Indonesian come (ID superteam),General Discussion,0,39,2/8/2022,20:31
Banger,General Discussion,2,21,5/9/2022,9:49
Liquid vs prx,General Discussion,1,28,5/9/2022,14:16
Paper new roster 2023 ?,General Discussion,0,19,19/9/2022,21:39
