team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Gen.G,GEN,2,Bo3,B,win,"[['Haven', 13, 6, 7], ['Ascent', 13, 8, 5]]",26,14,12,Valorant Champions 2024,Group Stage: Opening (B),"['GEN t3xture', 'GEN Karon', 'GEN Meteor', 'GEN Munchkin', 'GEN Lakia']",Sunset,Lotus,Ascent,Abyss,-,Haven,Ascent,-,-,-,https://www.vlr.gg/378662/gen-g-vs-sentinels-valorant-champions-2024-opening-b
Sentinels,SEN,0,Bo3,A,loss,"[['Haven', 8, 5, 3], ['Ascent', 7, 3, 4]]",15,8,7,Valorant Champions 2024,Group Stage: Opening (B),"['SEN Sacy', 'SEN TenZ', 'SEN Zellsis', 'SEN johnqt', 'SEN zekken']",Icebox,Bind,Haven,Abyss,-,Haven,Ascent,-,-,-,https://www.vlr.gg/378662/gen-g-vs-sentinels-valorant-champions-2024-opening-b
FunPlus Phoenix,FPX,1,Bo3,A,loss,"[['Abyss', 14, 8, 4], ['Bind', 9, 4, 5], ['Lotus', 15, 6, 6]]",38,18,15,Valorant Champions 2024,Group Stage: Opening (B),"['FPX Autumn', 'FPX AAAAY', 'FPX Lysoar', 'FPX BerLIN', 'FPX Life']",Sunset,Ascent,Abyss,Lotus,-,Abyss,Bind,Lotus,-,-,https://www.vlr.gg/378663/funplus-phoenix-vs-team-heretics-valorant-champions-2024-opening-b
Team Heretics,TH,2,Bo3,B,win,"[['Abyss', 12, 8, 4], ['Bind', 13, 5, 8], ['Lotus', 13, 6, 6]]",38,19,18,Valorant Champions 2024,Group Stage: Opening (B),"['TH RieNs', 'TH Wo0t', 'TH benjyfishy', 'TH Boo', 'TH MiniBoo']",Icebox,Haven,Bind,Lotus,-,Abyss,Bind,Lotus,-,-,https://www.vlr.gg/378663/funplus-phoenix-vs-team-heretics-valorant-champions-2024-opening-b
DRX,DRX,2,Bo3,B,win,"[['Haven', 2, 2, 0], ['Abyss', 13, 5, 8], ['Bind', 13, 4, 9]]",28,11,17,Valorant Champions 2024,Group Stage: Opening (A),"['DRX Flashback', 'DRX BuZz', 'DRX Foxy9', 'DRX BeYN', 'DRX MaKo']",Lotus,Sunset,Abyss,Bind,-,Haven,Abyss,Bind,-,-,https://www.vlr.gg/378657/drx-vs-kr-esports-valorant-champions-2024-opening-a
KRÜ Esports,KRÜ,1,Bo3,A,loss,"[['Haven', 13, 3, 10], ['Abyss', 6, 4, 2], ['Bind', 6, 3, 3]]",25,10,15,Valorant Champions 2024,Group Stage: Opening (A),"['KRÜ Melser', 'KRÜ keznit', 'KRÜ Shyy', 'KRÜ heat', 'KRÜ mta']",Icebox,Ascent,Haven,Bind,-,Haven,Abyss,Bind,-,-,https://www.vlr.gg/378657/drx-vs-kr-esports-valorant-champions-2024-opening-a
FNATIC,FNC,2,Bo3,B,win,"[['Bind', 13, 6, 7], ['Lotus', 13, 3, 10]]",26,9,17,Valorant Champions 2024,Group Stage: Opening (A),"['FNC Chronicle', 'FNC hiro', 'FNC Derke', 'FNC Boaster', 'FNC Alfajer']",Sunset,Icebox,Lotus,Ascent,-,Bind,Lotus,-,-,-,https://www.vlr.gg/378656/fnatic-vs-bilibili-gaming-valorant-champions-2024-opening-a
Bilibili Gaming,BLG,0,Bo3,A,loss,"[['Bind', 9, 5, 4], ['Lotus', 4, 2, 2]]",13,7,6,Valorant Champions 2024,Group Stage: Opening (A),"['BLG whzy', 'BLG nephh', 'BLG Knight', 'BLG Flex1n', 'BLG yosemite']",Haven,Abyss,Bind,Ascent,-,Bind,Lotus,-,-,-,https://www.vlr.gg/378656/fnatic-vs-bilibili-gaming-valorant-champions-2024-opening-a
LEVIATÁN,LEV,2,Bo3,B,win,"[['Bind', 13, 6, 7], ['Ascent', 13, 5, 8]]",26,11,15,Valorant Champions 2024,Group Stage: Opening (C),"['LEV kiNgg', 'LEV aspas', 'LEV C0M', 'LEV tex', 'LEV Mazino']",Lotus,Abyss,Ascent,Sunset,-,Bind,Ascent,-,-,-,https://www.vlr.gg/378667/leviat-n-vs-talon-esports-valorant-champions-2024-opening-c
TALON,TLN,0,Bo3,A,loss,"[['Bind', 11, 5, 6], ['Ascent', 8, 4, 4]]",19,9,10,Valorant Champions 2024,Group Stage: Opening (C),"['TLN primmie', 'TLN ban', 'TLN Governor', 'TLN JitBoyS', 'TLN Crws']",Icebox,Haven,Bind,Sunset,-,Bind,Ascent,-,-,-,https://www.vlr.gg/378667/leviat-n-vs-talon-esports-valorant-champions-2024-opening-c
