team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Evil Geniuses,EG,2,Bo3,A,win,"[['Haven', 13, 4, 9], ['Abyss', 14, 5, 7]]",27,9,16,VCT 2026: Americas Kickoff,Main Event: Lower Round 1,"['EG supamen', 'EG dgzin', 'EG C0M', 'EG Okeanos', 'EG bao']",Breeze,Bind,Haven,Corrode,-,Haven,Abyss,-,-,-,https://www.vlr.gg/596419/loud-vs-evil-geniuses-vct-2026-americas-kickoff-lr1
KRÜ Esports,KRÜ,0,Bo3,B,loss,"[['Bind', 4, 3, 1], ['Split', 10, 5, 5]]",14,8,6,VCT 2026: Americas Kickoff,Main Event: Lower Round 1,"['KRÜ NagZ', 'KRÜ mta', 'KRÜ Governor', 'KRÜ benG', 'KRÜ infiltrator']",Corrode,Haven,Split,Abyss,-,Bind,Split,-,-,-,https://www.vlr.gg/596420/kr-esports-vs-leviat-n-vct-2026-americas-kickoff-lr1
LEVIATÁN,LEV,2,Bo3,A,win,"[['Bind', 13, 4, 9], ['Split', 13, 6, 7]]",26,10,16,VCT 2026: Americas Kickoff,Main Event: Lower Round 1,"['LEV Neon', 'LEV spike', 'LEV kiNgg', 'LEV blowz', 'LEV Sato']",Breeze,Pearl,Bind,Abyss,-,Bind,Split,-,-,-,https://www.vlr.gg/596420/kr-esports-vs-leviat-n-vct-2026-americas-kickoff-lr1
NRG,NRG,2,Bo3,B,win,"[['Haven', 13, 7, 6], ['Corrode', 13, 6, 7]]",26,13,13,VCT 2026: Americas Kickoff,Main Event: Middle Round 3,"['NRG brawk', 'NRG skuba', 'NRG mada', 'NRG keiko', 'NRG Ethan']",Bind,Breeze,Corrode,Split,-,Haven,Corrode,-,-,-,https://www.vlr.gg/596415/nrg-vs-100-thieves-vct-2026-americas-kickoff-mr3
100 Thieves,100T,0,Bo3,A,loss,"[['Haven', 9, 4, 5], ['Corrode', 11, 5, 6]]",20,9,11,VCT 2026: Americas Kickoff,Main Event: Middle Round 3,"['100T bang', '100T Cryocells', '100T Asuna', '100T Timotino', '100T vora']",Abyss,Pearl,Haven,Split,-,Haven,Corrode,-,-,-,https://www.vlr.gg/596415/nrg-vs-100-thieves-vct-2026-americas-kickoff-mr3
G2 Esports,G2,2,Bo3,B,win,"[['Corrode', 13, 8, 5], ['Bind', 13, 6, 7]]",26,14,12,VCT 2026: Americas Kickoff,Main Event: Middle Round 3,"['G2 leaf', 'G2 BABYBAY', 'G2 valyn', 'G2 trent', 'G2 jawgemo']",Abyss,Breeze,Bind,Split,-,Corrode,Bind,-,-,-,https://www.vlr.gg/596416/g2-esports-vs-cloud9-vct-2026-americas-kickoff-mr3
Cloud9,C9,0,Bo3,A,loss,"[['Corrode', 11, 7, 4], ['Bind', 9, 3, 6]]",20,10,10,VCT 2026: Americas Kickoff,Main Event: Middle Round 3,"['C9 penny', 'C9 v1c', 'C9 OXY', 'C9 Zellsis', 'C9 Xeppaa']",Pearl,Haven,Corrode,Split,-,Corrode,Bind,-,-,-,https://www.vlr.gg/596416/g2-esports-vs-cloud9-vct-2026-americas-kickoff-mr3
ENVY,ENVY,0,Bo3,B,loss,"[['Pearl', 14, 4, 8], ['Corrode', 5, 4, 1]]",19,8,9,VCT 2026: Americas Kickoff,Main Event: Lower Round 2,"['ENVY Demon1', 'ENVY Eggsterr', 'ENVY Rossy', 'ENVY keznit', 'ENVY P0PPIN']",Haven,Split,Corrode,Bind,-,Pearl,Corrode,-,-,-,https://www.vlr.gg/596421/envy-vs-evil-geniuses-vct-2026-americas-kickoff-lr2
Evil Geniuses,EG,2,Bo3,A,win,"[['Pearl', 16, 4, 8], ['Corrode', 13, 5, 8]]",29,9,16,VCT 2026: Americas Kickoff,Main Event: Lower Round 2,"['EG dgzin', 'EG supamen', 'EG bao', 'EG C0M', 'EG Okeanos']",Breeze,Abyss,Pearl,Bind,-,Pearl,Corrode,-,-,-,https://www.vlr.gg/596421/envy-vs-evil-geniuses-vct-2026-americas-kickoff-lr2
Sentinels,SEN,0,Bo3,A,loss,"[['Corrode', 13, 6, 7], ['Bind', 14, 4, 8]]",27,10,15,VCT 2026: Americas Kickoff,Main Event: Lower Round 2,"['SEN N4RRATE', 'SEN Reduxx', 'SEN Kyu', 'SEN cortezia', 'SEN johnqt']",Haven,Split,Corrode,Abyss,-,Corrode,Bind,-,-,-,https://www.vlr.gg/596422/sentinels-vs-leviat-n-vct-2026-americas-kickoff-lr2
