team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Team Liquid,TL,0,Bo3,B,loss,"[['Fracture', 11, 6, 5], ['Bind', 15, 7, 5]]",26,13,10,Valorant Champions 2023,Group Stage: Opening (D),"['TL nAts', 'TL Sayf', 'TL Jamppi', 'TL soulcas', 'TL Redgar']",Pearl,Ascent,Bind,Split,-,Fracture,Bind,-,-,-,https://www.vlr.gg/247100/team-liquid-vs-natus-vincere-valorant-champions-2023-group-stage-opening-d
Natus Vincere,NAVI,2,Bo3,A,win,"[['Fracture', 13, 7, 6], ['Bind', 17, 7, 5]]",30,14,11,Valorant Champions 2023,Group Stage: Opening (D),"['NAVI SUYGETSU', 'NAVI cNed', 'NAVI Shao', 'NAVI ANGE1', 'NAVI Zyppan']",Haven,Lotus,Fracture,Split,-,Fracture,Bind,-,-,-,https://www.vlr.gg/247100/team-liquid-vs-natus-vincere-valorant-champions-2023-group-stage-opening-d
DRX,DRX,2,Bo3,B,win,"[['Lotus', 13, 7, 5], ['Split', 13, 5, 8], ['Ascent', 13, 5, 8]]",39,17,21,Valorant Champions 2023,Group Stage: Opening (D),"['DRX MaKo', 'DRX Rb', 'DRX Zest', 'DRX stax', 'DRX BuZz']",Bind,Pearl,Split,Ascent,-,Lotus,Split,Ascent,-,-,https://www.vlr.gg/247101/drx-vs-loud-valorant-champions-2023-group-stage-opening-d
LOUD,LOUD,1,Bo3,A,loss,"[['Lotus', 15, 7, 5], ['Split', 6, 4, 2], ['Ascent', 8, 4, 4]]",29,15,11,Valorant Champions 2023,Group Stage: Opening (D),"['LOUD aspas', 'LOUD cauanzin', 'LOUD Less', 'LOUD tuyz', 'LOUD saadhak']",Fracture,Haven,Lotus,Ascent,-,Lotus,Split,Ascent,-,-,https://www.vlr.gg/247101/drx-vs-loud-valorant-champions-2023-group-stage-opening-d
FUT Esports,FUT,2,Bo3,B,win,"[['Pearl', 13, 4, 9], ['Haven', 13, 6, 7]]",26,10,16,Valorant Champions 2023,Group Stage: Opening (B),"['FUT MrFaliN', 'FUT MOJJ', 'FUT qRaxs', 'FUT AtaKaptan', 'FUT qw1']",Fracture,Bind,Haven,Ascent,-,Pearl,Haven,-,-,-,https://www.vlr.gg/247087/fut-esports-vs-t1-valorant-champions-2023-group-stage-opening-b
T1,T1,0,Bo3,A,loss,"[['Pearl', 4, 3, 1], ['Haven', 7, 5, 2]]",11,8,3,Valorant Champions 2023,Group Stage: Opening (B),"['T1 Munchkin', 'T1 xeta', 'T1 Sayaplayer', 'T1 ban', 'T1 carpe']",Split,Lotus,Pearl,Ascent,-,Pearl,Haven,-,-,-,https://www.vlr.gg/247087/fut-esports-vs-t1-valorant-champions-2023-group-stage-opening-b
Evil Geniuses,EG,2,Bo3,A,win,"[['Ascent', 8, 6, 2], ['Pearl', 8, 3, 5]]",16,9,7,Valorant Champions 2023,Group Stage: Opening (B),"['EG jawgemo', 'EG Demon1', 'EG Ethan', 'EG C0M', 'EG Boostio']",Lotus,Haven,Ascent,Bind,-,Ascent,Pearl,-,-,-,https://www.vlr.gg/247086/evil-geniuses-vs-funplus-phoenix-valorant-champions-2023-group-stage-opening-b
FunPlus Phoenix,FPX,0,Bo3,B,loss,"[['Ascent', 13, 7, 6], ['Pearl', 13, 4, 9]]",26,11,15,Valorant Champions 2023,Group Stage: Opening (B),"['FPX AAAAY', 'FPX nizhaoTZH', 'FPX Lysoar', 'FPX Yuicaw', 'FPX BerLIN']",Fracture,Split,Pearl,Bind,-,Ascent,Pearl,-,-,-,https://www.vlr.gg/247086/evil-geniuses-vs-funplus-phoenix-valorant-champions-2023-group-stage-opening-b
Natus Vincere,NAVI,1,Bo3,A,loss,"[['Bind', 15, 4, 8], ['Split', 9, 6, 3], ['Lotus', 14, 6, 6]]",38,16,17,Valorant Champions 2023,Group Stage: Winner's (D),"['NAVI Shao', 'NAVI SUYGETSU', 'NAVI cNed', 'NAVI Zyppan', 'NAVI ANGE1']",Haven,Ascent,Bind,Lotus,-,Bind,Split,Lotus,-,-,https://www.vlr.gg/247102/natus-vincere-vs-drx-valorant-champions-2023-group-stage-winners-d
DRX,DRX,2,Bo3,B,win,"[['Bind', 13, 4, 8], ['Split', 13, 7, 6], ['Lotus', 12, 6, 6]]",38,17,20,Valorant Champions 2023,Group Stage: Winner's (D),"['DRX stax', 'DRX BuZz', 'DRX Rb', 'DRX MaKo', 'DRX Zest']",Pearl,Fracture,Split,Lotus,-,Bind,Split,Lotus,-,-,https://www.vlr.gg/247102/natus-vincere-vs-drx-valorant-champions-2023-group-stage-winners-d
