team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
FNATIC,FNC,2,Bo3,A,win,"[['Ascent', 13, 7, 6], ['Abyss', 13, 8, 5]]",26,15,11,Valorant Champions 2025,Group Stage: Opening (B),"['FNC Chronicle', 'FNC Boaster', 'FNC Alfajer', 'FNC crashies', 'FNC kaajak']",Sunset,Haven,Ascent,Corrode,-,Ascent,Abyss,-,-,-,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b
Paper Rex,PRX,2,Bo3,B,win,"[['Ascent', 11, 4, 7], ['Lotus', 13, 8, 5], ['Sunset', 13, 7, 6]]",37,19,18,Valorant Champions 2025,Group Stage: Winner's (A),"['PRX something', 'PRX Jinggg', 'PRX d4v41', 'PRX PatMen', 'PRX f0rsakeN']",Corrode,Haven,Lotus,Sunset,-,Ascent,Lotus,Sunset,-,-,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a
GIANTX,GX,1,Bo3,A,loss,"[['Ascent', 13, 5, 8], ['Lotus', 10, 6, 4], ['Sunset', 6, 1, 5]]",29,12,17,Valorant Champions 2025,Group Stage: Winner's (A),"['GX westside', 'GX ara', 'GX Cloud', 'GX Flickless', 'GX grubinho']",Bind,Abyss,Ascent,Sunset,-,Ascent,Lotus,Sunset,-,-,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a
DRX,DRX,1,Bo3,A,loss,"[['Haven', 4, 0, 4], ['Corrode', 13, 8, 5], ['Lotus', 13, 9, 4]]",30,17,13,Valorant Champions 2025,Group Stage: Winner's (C),"['DRX Flashback', 'DRX BeYN', 'DRX HYUNMIN', 'DRX free1ng', 'DRX MaKo']",Sunset,Ascent,Haven,Lotus,-,Haven,Corrode,Lotus,-,-,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c
NRG,NRG,2,Bo3,B,win,"[['Haven', 13, 8, 5], ['Corrode', 11, 7, 4], ['Lotus', 11, 8, 3]]",35,23,12,Valorant Champions 2025,Group Stage: Winner's (C),"['NRG brawk', 'NRG mada', 'NRG skuba', 'NRG s0m', 'NRG Ethan']",Abyss,Bind,Corrode,Lotus,-,Haven,Corrode,Lotus,-,-,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c
Team Heretics,TH,2,Bo3,A,win,"[['Lotus', 10, 4, 6], ['Sunset', 11, 6, 5]]",21,10,11,Valorant Champions 2025,Group Stage: Winner's (D),"['TH RieNs', 'TH Wo0t', 'TH Boo', 'TH MiniBoo', 'TH benjyfishy']",Abyss,Bind,Lotus,Ascent,-,Lotus,Sunset,-,-,-,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d
T1,T1,0,Bo3,B,loss,"[['Lotus', 13, 5, 8], ['Sunset', 13, 7, 6]]",26,12,14,Valorant Champions 2025,Group Stage: Winner's (D),"['T1 iZu', 'T1 Meteor', 'T1 DH', 'T1 BuZz', 'T1 stax']",Haven,Corrode,Sunset,Ascent,-,Lotus,Sunset,-,-,-,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d
MIBR,MIBR,1,Bo3,B,loss,"[['Bind', 13, 7, 6], ['Abyss', 7, 7, 0], ['Haven', 10, 4, 6]]",30,18,12,Valorant Champions 2025,Group Stage: Winner's (B),"['MIBR aspas', 'MIBR Verno', 'MIBR artzin', 'MIBR xenom', 'MIBR cortezia']",Lotus,Ascent,Abyss,Haven,-,Bind,Abyss,Haven,-,-,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b
FNATIC,FNC,2,Bo3,A,win,"[['Bind', 5, 0, 5], ['Abyss', 13, 8, 5], ['Haven', 13, 5, 8]]",31,13,18,Valorant Champions 2025,Group Stage: Winner's (B),"['FNC crashies', 'FNC kaajak', 'FNC Alfajer', 'FNC Chronicle', 'FNC Boaster']",Sunset,Corrode,Bind,Haven,-,Bind,Abyss,Haven,-,-,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b
Team Liquid,TL,2,Bo3,A,win,"[['Sunset', 13, 2, 11], ['Abyss', 6, 3, 3], ['Bind', 13, 6, 6]]",32,11,20,Valorant Champions 2025,Group Stage: Elimination (C),"['TL nAts', 'TL kamo', 'TL paTiTek', 'TL trexx', 'TL keiko']",Haven,Corrode,Sunset,Bind,-,Sunset,Abyss,Bind,-,-,https://www.vlr.gg/542209/team-liquid-vs-edward-gaming-valorant-champions-2025-elim-c
EDward Gaming,EDG,1,Bo3,B,loss,"[['Sunset', 3, 1, 2], ['Abyss', 13, 9, 4], ['Bind', 15, 6, 6]]",31,16,12,Valorant Champions 2025,Group Stage: Elimination (C),"['EDG Smoggy', 'EDG nobody', 'EDG ZmjjKK', 'EDG Jieni7', 'EDG CHICHOO']",Lotus,Ascent,Abyss,Bind,-,Sunset,Abyss,Bind,-,-,https://www.vlr.gg/542209/team-liquid-vs-edward-gaming-valorant-champions-2025-elim-c
Xi Lai Gaming,XLG,2,Bo3,A,win,"[['Abyss', 13, 7, 6], ['Lotus', 11, 8, 3], ['Haven', 8, 3, 5]]",32,18,14,Valorant Champions 2025,Group Stage: Elimination (A),"['XLG happywei', 'XLG NoMan', 'XLG Rarga', 'XLG Viva', 'XLG coconut']",Corrode,Sunset,Abyss,Haven,-,Abyss,Lotus,Haven,-,-,https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a
Sentinels,SEN,1,Bo3,B,loss,"[['Abyss', 10, 5, 5], ['Lotus', 13, 9, 4], ['Haven', 13, 7, 6]]",36,21,15,Valorant Champions 2025,Group Stage: Elimination (A),"['SEN johnqt', 'SEN zekken', 'SEN N4RRATE', 'SEN Zellsis', 'SEN bang']",Ascent,Bind,Lotus,Haven,-,Abyss,Lotus,Haven,-,-,https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a
Bilibili Gaming,BLG,1,Bo3,B,loss,"[['Sunset', 13, 6, 7], ['Lotus', 8, 5, 3], ['Abyss', 4, 0, 4]]",25,11,14,Valorant Champions 2025,Group Stage: Elimination (B),"['BLG Knight', 'BLG Levius', 'BLG nephh', 'BLG rushia', 'BLG whzy']",Corrode,Haven,Lotus,Abyss,-,Sunset,Lotus,Abyss,-,-,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b
Rex Regum Qeon,RRQ,2,Bo3,A,win,"[['Sunset', 7, 1, 6], ['Lotus', 13, 6, 7], ['Abyss', 13, 8, 5]]",33,15,18,Valorant Champions 2025,Group Stage: Elimination (B),"['RRQ Monyet', 'RRQ Jemkin', 'RRQ xffero', 'RRQ crazyguy', 'RRQ Kushy']",Bind,Ascent,Sunset,Abyss,-,Sunset,Lotus,Abyss,-,-,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b
G2 Esports,G2,2,Bo3,B,win,"[['Lotus', 13, 6, 7], ['Abyss', 13, 7, 6]]",26,13,13,Valorant Champions 2025,Group Stage: Elimination (D),"['G2 jawgemo', 'G2 leaf', 'G2 JonahP', 'G2 trent', 'G2 valyn']",Corrode,Sunset,Abyss,Ascent,-,Lotus,Abyss,-,-,-,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d
Dragon Ranger Gaming,DRG,0,Bo3,A,loss,"[['Lotus', 7, 1, 6], ['Abyss', 7, 6, 1]]",14,7,7,Valorant Champions 2025,Group Stage: Elimination (D),"['DRG Demon1', 'DRG Flex1n', 'DRG Akeman', 'DRG SpiritZ1', 'DRG Nicc']",Bind,Haven,Lotus,Ascent,-,Lotus,Abyss,-,-,-,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d
DRX,DRX,2,Bo3,B,win,"[['Corrode', 13, 7, 6], ['Abyss', 13, 7, 6]]",26,14,12,Valorant Champions 2025,Group Stage: Decider (C),"['DRX Flashback', 'DRX MaKo', 'DRX HYUNMIN', 'DRX free1ng', 'DRX BeYN']",Sunset,Ascent,Abyss,Bind,-,Corrode,Abyss,-,-,-,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c
Team Liquid,TL,0,Bo3,A,loss,"[['Corrode', 8, 6, 2], ['Abyss', 7, 6, 1]]",15,12,3,Valorant Champions 2025,Group Stage: Decider (C),"['TL keiko', 'TL kamo', 'TL trexx', 'TL nAts', 'TL paTiTek']",Haven,Lotus,Corrode,Bind,-,Corrode,Abyss,-,-,-,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c
GIANTX,GX,2,Bo3,B,win,"[['Bind', 14, 8, 4], ['Ascent', 13, 5, 8]]",27,13,12,Valorant Champions 2025,Group Stage: Decider (A),"['GX ara', 'GX westside', 'GX Cloud', 'GX Flickless', 'GX grubinho']",Abyss,Haven,Ascent,Lotus,-,Bind,Ascent,-,-,-,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a
Xi Lai Gaming,XLG,0,Bo3,A,loss,"[['Bind', 12, 8, 4], ['Ascent', 10, 3, 7]]",22,11,11,Valorant Champions 2025,Group Stage: Decider (A),"['XLG Viva', 'XLG NoMan', 'XLG Rarga', 'XLG happywei', 'XLG coconut']",Sunset,Corrode,Bind,Lotus,-,Bind,Ascent,-,-,-,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a
T1,T1,0,Bo3,B,loss,"[['Lotus', 9, 4, 5], ['Corrode', 8, 4, 4]]",17,8,9,Valorant Champions 2025,Group Stage: Decider (D),"['T1 iZu', 'T1 Meteor', 'T1 stax', 'T1 DH', 'T1 BuZz']",Abyss,Haven,Corrode,Sunset,-,Lotus,Corrode,-,-,-,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d
G2 Esports,G2,2,Bo3,A,win,"[['Lotus', 13, 5, 8], ['Corrode', 13, 8, 5]]",26,13,13,Valorant Champions 2025,Group Stage: Decider (D),"['G2 valyn', 'G2 jawgemo', 'G2 trent', 'G2 leaf', 'G2 JonahP']",Bind,Ascent,Lotus,Sunset,-,Lotus,Corrode,-,-,-,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d
MIBR,MIBR,2,Bo3,B,win,"[['Corrode', 13, 9, 4], ['Abyss', 13, 5, 8]]",26,14,12,Valorant Champions 2025,Group Stage: Decider (B),"['MIBR aspas', 'MIBR artzin', 'MIBR cortezia', 'MIBR xenom', 'MIBR Verno']",Lotus,Ascent,Abyss,Haven,-,Corrode,Abyss,-,-,-,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b
Rex Regum Qeon,RRQ,0,Bo3,A,loss,"[['Corrode', 5, 2, 3], ['Abyss', 5, 4, 1]]",10,6,4,Valorant Champions 2025,Group Stage: Decider (B),"['RRQ Jemkin', 'RRQ Monyet', 'RRQ xffero', 'RRQ crazyguy', 'RRQ Kushy']",Bind,Sunset,Corrode,Haven,-,Corrode,Abyss,-,-,-,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b
Paper Rex,PRX,2,Bo3,A,win,"[['Lotus', 11, 6, 5], ['Corrode', 15, 6, 6], ['Ascent', 11, 8, 3]]",37,20,14,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['PRX something', 'PRX f0rsakeN', 'PRX Jinggg', 'PRX PatMen', 'PRX d4v41']",Abyss,Haven,Lotus,Ascent,-,Lotus,Corrode,Ascent,-,-,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf
G2 Esports,G2,1,Bo3,B,loss,"[['Lotus', 13, 7, 6], ['Corrode', 13, 6, 6], ['Ascent', 13, 9, 4]]",39,22,16,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['G2 leaf', 'G2 JonahP', 'G2 jawgemo', 'G2 trent', 'G2 valyn']",Bind,Sunset,Corrode,Ascent,-,Lotus,Corrode,Ascent,-,-,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf
FNATIC,FNC,2,Bo3,B,win,"[['Haven', 13, 11, 2], ['Ascent', 8, 6, 2], ['Lotus', 13, 8, 5]]",34,25,9,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['FNC Alfajer', 'FNC kaajak', 'FNC crashies', 'FNC Chronicle', 'FNC Boaster']",Abyss,Corrode,Ascent,Lotus,-,Haven,Ascent,Lotus,-,-,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf
DRX,DRX,1,Bo3,A,loss,"[['Haven', 11, 10, 1], ['Ascent', 13, 7, 6], ['Lotus', 5, 1, 4]]",29,18,11,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['DRX BeYN', 'DRX Flashback', 'DRX MaKo', 'DRX HYUNMIN', 'DRX free1ng']",Sunset,Bind,Haven,Lotus,-,Haven,Ascent,Lotus,-,-,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf
Team Heretics,TH,0,Bo3,B,loss,"[['Corrode', 12, 8, 4], ['Sunset', 6, 3, 3]]",18,11,7,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['TH RieNs', 'TH Wo0t', 'TH MiniBoo', 'TH benjyfishy', 'TH Boo']",Abyss,Bind,Sunset,Haven,-,Corrode,Sunset,-,-,-,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf
MIBR,MIBR,2,Bo3,A,win,"[['Corrode', 14, 8, 4], ['Sunset', 13, 4, 9]]",27,12,13,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['MIBR artzin', 'MIBR aspas', 'MIBR cortezia', 'MIBR Verno', 'MIBR xenom']",Lotus,Ascent,Corrode,Haven,-,Corrode,Sunset,-,-,-,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf
NRG,NRG,2,Bo3,B,win,"[['Haven', 13, 11, 2], ['Lotus', 13, 9, 4]]",26,20,6,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['NRG brawk', 'NRG mada', 'NRG s0m', 'NRG skuba', 'NRG Ethan']",Sunset,Ascent,Lotus,Abyss,-,Haven,Lotus,-,-,-,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf
GIANTX,GX,0,Bo3,A,loss,"[['Haven', 1, 0, 1], ['Lotus', 6, 3, 3]]",7,3,4,Valorant Champions 2025,Playoffs: Upper Quarterfinals,"['GX Cloud', 'GX westside', 'GX grubinho', 'GX Flickless', 'GX ara']",Corrode,Bind,Haven,Abyss,-,Haven,Lotus,-,-,-,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf
DRX,DRX,2,Bo3,B,win,"[['Lotus', 7, 3, 4], ['Abyss', 13, 8, 5], ['Bind', 13, 3, 10]]",33,14,19,Valorant Champions 2025,Playoffs: Lower Round 1,"['DRX MaKo', 'DRX HYUNMIN', 'DRX Flashback', 'DRX free1ng', 'DRX BeYN']",Sunset,Corrode,Abyss,Bind,-,Lotus,Abyss,Bind,-,-,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1
G2 Esports,G2,1,Bo3,A,loss,"[['Lotus', 13, 8, 5], ['Abyss', 10, 6, 4], ['Bind', 7, 2, 5]]",30,16,14,Valorant Champions 2025,Playoffs: Lower Round 1,"['G2 jawgemo', 'G2 valyn', 'G2 trent', 'G2 JonahP', 'G2 leaf']",Haven,Ascent,Lotus,Bind,-,Lotus,Abyss,Bind,-,-,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1
Team Heretics,TH,2,Bo3,B,win,"[['Ascent', 13, 5, 8], ['Lotus', 3, 0, 3], ['Bind', 13, 5, 8]]",29,10,19,Valorant Champions 2025,Playoffs: Lower Round 1,"['TH RieNs', 'TH MiniBoo', 'TH Wo0t', 'TH benjyfishy', 'TH Boo']",Abyss,Sunset,Lotus,Bind,-,Ascent,Lotus,Bind,-,-,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1
GIANTX,GX,1,Bo3,A,loss,"[['Ascent', 4, 4, 0], ['Lotus', 13, 9, 4], ['Bind', 9, 2, 7]]",26,15,11,Valorant Champions 2025,Playoffs: Lower Round 1,"['GX Flickless', 'GX westside', 'GX Cloud', 'GX ara', 'GX grubinho']",Corrode,Haven,Ascent,Bind,-,Ascent,Lotus,Bind,-,-,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1
FNATIC,FNC,2,Bo3,B,win,"[['Bind', 10, 3, 7], ['Haven', 13, 8, 5], ['Lotus', 13, 3, 10]]",36,14,22,Valorant Champions 2025,Playoffs: Upper Semifinals,"['FNC kaajak', 'FNC Chronicle', 'FNC Boaster', 'FNC doma', 'FNC crashies']",Sunset,Corrode,Haven,Lotus,-,Bind,Haven,Lotus,-,-,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf
Paper Rex,PRX,1,Bo3,A,loss,"[['Bind', 13, 5, 8], ['Haven', 4, 0, 4], ['Lotus', 9, 0, 9]]",26,5,21,Valorant Champions 2025,Playoffs: Upper Semifinals,"['PRX d4v41', 'PRX f0rsakeN', 'PRX Jinggg', 'PRX PatMen', 'PRX something']",Abyss,Ascent,Bind,Lotus,-,Bind,Haven,Lotus,-,-,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf
MIBR,MIBR,1,Bo3,A,loss,"[['Abyss', 16, 6, 6], ['Haven', 4, 2, 2], ['Corrode', 16, 7, 5]]",36,15,13,Valorant Champions 2025,Playoffs: Upper Semifinals,"['MIBR aspas', 'MIBR cortezia', 'MIBR Verno', 'MIBR xenom', 'MIBR artzin']",Lotus,Ascent,Abyss,Corrode,-,Abyss,Haven,Corrode,-,-,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf
NRG,NRG,2,Bo3,B,win,"[['Abyss', 14, 6, 6], ['Haven', 13, 3, 10], ['Corrode', 14, 7, 5]]",41,16,21,Valorant Champions 2025,Playoffs: Upper Semifinals,"['NRG brawk', 'NRG s0m', 'NRG skuba', 'NRG Ethan', 'NRG mada']",Sunset,Bind,Haven,Corrode,-,Abyss,Haven,Corrode,-,-,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf
Paper Rex,PRX,2,Bo3,B,win,"[['Ascent', 13, 9, 4], ['Bind', 9, 2, 7], ['Lotus', 13, 8, 5]]",35,19,16,Valorant Champions 2025,Playoffs: Lower Round 2,"['PRX f0rsakeN', 'PRX d4v41', 'PRX PatMen', 'PRX something', 'PRX Jinggg']",Haven,Corrode,Bind,Lotus,-,Ascent,Bind,Lotus,-,-,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2
Team Heretics,TH,1,Bo3,A,loss,"[['Ascent', 11, 8, 3], ['Bind', 13, 5, 8], ['Lotus', 4, 0, 4]]",28,13,15,Valorant Champions 2025,Playoffs: Lower Round 2,"['TH Wo0t', 'TH RieNs', 'TH Boo', 'TH benjyfishy', 'TH MiniBoo']",Sunset,Abyss,Ascent,Lotus,-,Ascent,Bind,Lotus,-,-,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2
MIBR,MIBR,1,Bo3,A,loss,"[['Sunset', 10, 1, 9], ['Ascent', 15, 7, 5], ['Bind', 13, 7, 6]]",38,15,20,Valorant Champions 2025,Playoffs: Lower Round 2,"['MIBR aspas', 'MIBR cortezia', 'MIBR Verno', 'MIBR xenom', 'MIBR artzin']",Abyss,Haven,Sunset,Bind,-,Sunset,Ascent,Bind,-,-,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2
DRX,DRX,2,Bo3,B,win,"[['Sunset', 13, 3, 10], ['Ascent', 13, 7, 5], ['Bind', 10, 6, 4]]",36,16,19,Valorant Champions 2025,Playoffs: Lower Round 2,"['DRX BeYN', 'DRX free1ng', 'DRX Flashback', 'DRX MaKo', 'DRX HYUNMIN']",Corrode,Lotus,Ascent,Bind,-,Sunset,Ascent,Bind,-,-,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2
FNATIC,FNC,0,Bo3,A,loss,"[['Ascent', 14, 4, 8], ['Abyss', 13, 11, 2]]",27,15,10,Valorant Champions 2025,Playoffs: Upper Final,"['FNC kaajak', 'FNC Chronicle', 'FNC crashies', 'FNC Boaster', 'FNC Alfajer']",Corrode,Sunset,Ascent,Lotus,-,Ascent,Abyss,-,-,-,https://www.vlr.gg/542270/fnatic-vs-nrg-valorant-champions-2025-ubf
