team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Paper Rex,PRX,2,Bo3,B,win,"[['Bind', 13, 7, 6], ['Sunset', 13, 5, 8]]",26,12,14,Valorant Champions 2025,Group Stage: Opening (A),"['PRX something', 'PRX f0rsakeN', 'PRX Jinggg', 'PRX d4v41', 'PRX PatMen']",Abyss,Haven,Sunset,Ascent,-,Bind,Sunset,-,-,-,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a
Xi Lai Gaming,XLG,0,Bo3,A,loss,"[['Bind', 9, 6, 3], ['Sunset', 5, 4, 1]]",14,10,4,Valorant Champions 2025,Group Stage: Opening (A),"['XLG NoMan', 'XLG Rarga', 'XLG Viva', 'XLG happywei', 'XLG coconut']",Lotus,Corrode,Bind,Ascent,-,Bind,Sunset,-,-,-,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a
GIANTX,GX,2,Bo3,B,win,"[['Corrode', 6, 0, 6], ['Sunset', 13, 3, 10], ['Haven', 13, 9, 4]]",32,12,20,Valorant Champions 2025,Group Stage: Opening (A),"['GX Cloud', 'GX Flickless', 'GX ara', 'GX westside', 'GX grubinho']",Lotus,Abyss,Sunset,Haven,-,Corrode,Sunset,Haven,-,-,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a
Sentinels,SEN,1,Bo3,A,loss,"[['Corrode', 13, 6, 7], ['Sunset', 4, 2, 2], ['Haven', 9, 8, 1]]",26,16,10,Valorant Champions 2025,Group Stage: Opening (A),"['SEN johnqt', 'SEN N4RRATE', 'SEN zekken', 'SEN bang', 'SEN Zellsis']",Ascent,Bind,Corrode,Haven,-,Corrode,Sunset,Haven,-,-,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a
NRG,NRG,2,Bo3,B,win,"[['Abyss', 17, 10, 2], ['Corrode', 13, 7, 6]]",30,17,8,Valorant Champions 2025,Group Stage: Opening (C),"['NRG skuba', 'NRG Ethan', 'NRG s0m', 'NRG mada', 'NRG brawk']",Sunset,Bind,Corrode,Haven,-,Abyss,Corrode,-,-,-,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c
EDward Gaming,EDG,0,Bo3,A,loss,"[['Abyss', 15, 10, 2], ['Corrode', 11, 6, 5]]",26,16,7,Valorant Champions 2025,Group Stage: Opening (C),"['EDG Smoggy', 'EDG ZmjjKK', 'EDG nobody', 'EDG CHICHOO', 'EDG Jieni7']",Lotus,Ascent,Abyss,Haven,-,Abyss,Corrode,-,-,-,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c
Team Liquid,TL,0,Bo3,B,loss,"[['Abyss', 8, 2, 6], ['Bind', 10, 4, 6]]",18,6,12,Valorant Champions 2025,Group Stage: Opening (C),"['TL keiko', 'TL paTiTek', 'TL nAts', 'TL kamo', 'TL trexx']",Haven,Ascent,Bind,Lotus,-,Abyss,Bind,-,-,-,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c
DRX,DRX,2,Bo3,A,win,"[['Abyss', 13, 6, 7], ['Bind', 13, 6, 7]]",26,12,14,Valorant Champions 2025,Group Stage: Opening (C),"['DRX MaKo', 'DRX Flashback', 'DRX BeYN', 'DRX HYUNMIN', 'DRX free1ng']",Sunset,Corrode,Abyss,Lotus,-,Abyss,Bind,-,-,-,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c
Dragon Ranger Gaming,DRG,0,Bo3,A,loss,"[['Lotus', 15, 7, 5], ['Sunset', 16, 5, 7]]",31,12,12,Valorant Champions 2025,Group Stage: Opening (D),"['DRG SpiritZ1', 'DRG Nicc', 'DRG Demon1', 'DRG Akeman', 'DRG Flex1n']",Bind,Abyss,Lotus,Ascent,-,Lotus,Sunset,-,-,-,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d
T1,T1,2,Bo3,B,win,"[['Lotus', 13, 7, 5], ['Sunset', 14, 5, 7]]",27,12,12,Valorant Champions 2025,Group Stage: Opening (D),"['T1 DH', 'T1 Meteor', 'T1 BuZz', 'T1 iZu', 'T1 stax']",Haven,Corrode,Sunset,Ascent,-,Lotus,Sunset,-,-,-,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d
G2 Esports,G2,0,Bo3,B,loss,"[['Corrode', 10, 2, 8], ['Lotus', 10, 3, 7]]",20,5,15,Valorant Champions 2025,Group Stage: Opening (D),"['G2 valyn', 'G2 leaf', 'G2 trent', 'G2 jawgemo', 'G2 JonahP']",Sunset,Ascent,Lotus,Haven,-,Corrode,Lotus,-,-,-,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d
Team Heretics,TH,2,Bo3,A,win,"[['Corrode', 13, 4, 9], ['Lotus', 13, 5, 8]]",26,9,17,Valorant Champions 2025,Group Stage: Opening (D),"['TH RieNs', 'TH benjyfishy', 'TH MiniBoo', 'TH Boo', 'TH Wo0t']",Abyss,Bind,Corrode,Haven,-,Corrode,Lotus,-,-,-,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d
Bilibili Gaming,BLG,0,Bo3,A,loss,"[['Haven', 13, 10, 3], ['Corrode', 13, 5, 8]]",26,15,11,Valorant Champions 2025,Group Stage: Opening (B),"['BLG Knight', 'BLG nephh', 'BLG Levius', 'BLG rushia', 'BLG whzy']",Abyss,Ascent,Haven,Sunset,-,Haven,Corrode,-,-,-,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b
MIBR,MIBR,2,Bo3,B,win,"[['Haven', 2, 0, 2], ['Corrode', 9, 2, 7]]",11,2,9,Valorant Champions 2025,Group Stage: Opening (B),"['MIBR aspas', 'MIBR Verno', 'MIBR cortezia', 'MIBR artzin', 'MIBR xenom']",Lotus,Bind,Corrode,Sunset,-,Haven,Corrode,-,-,-,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b
Rex Regum Qeon,RRQ,0,Bo3,B,loss,"[['Ascent', 10, 5, 5], ['Abyss', 7, 7, 0]]",17,12,5,Valorant Champions 2025,Group Stage: Opening (B),"['RRQ Kushy', 'RRQ Jemkin', 'RRQ crazyguy', 'RRQ xffero', 'RRQ Monyet']",Bind,Lotus,Abyss,Corrode,-,Ascent,Abyss,-,-,-,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b
