DRX Forsaken??????,General Discussion,0,15,"September 14, 2022 at 12:32 AM AEST"
the future of PRX,General Discussion,7,94,"March 8, 2023 at 2:16 AM AEDT"
All-VCT Team Voting,General Discussion,2,87,"August 26, 2023 at 3:48 PM AEST"
Choose your skin,Off Topic,-2,43,"March 11, 2024 at 4:04 PM AEDT"
GIVE ME FORSAKEN PLEASE,General Discussion,0,14,"November 23, 2022 at 9:56 PM AEDT"
Forsaken the most valuable player to have in any t,General Discussion,0,14,"May 13, 2023 at 3:09 AM AEST"
forsaken > botster,General Discussion,0,14,"July 19, 2023 at 2:34 AM AEST"
forsaken raze,General Discussion,0,14,"March 22, 2024 at 2:53 AM AEDT"
TEKKEN > Forsaken + Jingg,General Discussion,1,13,"March 3, 2024 at 1:18 PM AEDT"
if PRX disband,General Discussion,0,98,"April 17, 2024 at 4:37 AM AEST"
forsaken is horrible,General Discussion,9,12,"July 20, 2022 at 2:28 AM AEST"
Forsaken would be top 5,General Discussion,7,12,"June 24, 2023 at 1:40 PM AEST"
Forsaken appreciation,General Discussion,9,12,"March 16, 2024 at 4:51 AM AEDT"
forsaken wtf,General Discussion,0,12,"June 1, 2024 at 9:42 PM AEST"
Ngl forsaken,General Discussion,2,12,"August 4, 2024 at 6:57 PM AEST"
Best player from each region,General Discussion,0,49,"March 7, 2022 at 7:27 PM AEDT"
PRX salary,General Discussion,4,99,"June 29, 2022 at 7:25 PM AEST"
Best vandal skin out of these 3?,General Discussion,0,20,"March 29, 2023 at 10:21 PM AEDT"
Vandal ranking,General Discussion,0,33,"April 7, 2023 at 2:25 PM AEST"
whats with forsaken,General Discussion,0,12,"May 12, 2024 at 6:54 PM AEST"
top 3 vandals?,Off Topic,0,64,"January 28, 2025 at 2:20 PM AEDT"
PRX Forsaken gonna destroy,General Discussion,0,11,"April 17, 2022 at 6:17 AM AEST"
ethan vs forsaken,General Discussion,0,11,"August 18, 2023 at 3:39 PM AEST"
FORSAKEN >>> CHRONICLE,General Discussion,0,11,"August 25, 2023 at 12:11 PM AEST"
Forsaken bundle: Worth it?,General Discussion,0,11,"April 20, 2024 at 8:30 PM AEST"
forsaken & prx,General Discussion,0,11,"March 23, 2025 at 9:43 PM AEDT"
CHOOSE your team,General Discussion,0,59,"October 29, 2023 at 12:18 AM AEDT"
Miniboo? Victor? Forsaken?,General Discussion,4,11,"June 7, 2024 at 2:00 PM AEST"
Perfect skin collection,General Discussion,0,35,"October 22, 2024 at 3:25 PM AEDT"
FORSAKEN IS COMING TO VALORANT???,General Discussion,1,10,"April 24, 2021 at 2:34 AM AEST"
reaver dagger or forsaken dagger,Off Topic,0,10,"August 19, 2021 at 9:31 PM AEST"
FORSAKEN POLISH PRIDE,General Discussion,5,10,"April 19, 2022 at 8:09 AM AEST"
yoru forsaken,General Discussion,2,10,"April 19, 2022 at 8:57 AM AEST"
Oxy ur not tenz or forsaken,General Discussion,0,10,"February 26, 2024 at 8:20 AM AEDT"
Forsaken carries PRX,General Discussion,0,10,"June 3, 2024 at 7:38 PM AEST"
